"id","title","status","tests","specs"
"feat:appspec-contract-001","AppSpec contract","implemented","3","spc:2025;spc:1000"
"feat:appspec-routerspec-composition-001","AppSpec and RouterSpec composition","implemented","1","spc:1000;spc:2025"
"feat:canonical-datatype-catalog-semantic-center-001","Canonical datatype catalog and semantic center","implemented","3","spc:2025;spc:2090"
"feat:columnspec-contract-001","ColumnSpec contract","implemented","3","spc:2025;spc:1000"
"feat:columnspec-datatype-attachment-point-001","ColumnSpec datatype attachment point","implemented","3","spc:2025;spc:2090"
"feat:datatype-adapter-registry-contract-001","Datatype adapter and registry contract","implemented","2","spc:2025"
"feat:default-canonical-engine-family-datatype-alignment-001","Default canonical engine-family datatype alignment","implemented","2","spc:2027;spc:2062;spc:2090"
"feat:engine-datatype-lowering-registry-bridge-001","Engine datatype lowering and registry bridge","implemented","3","spc:2025;spc:2027;spc:2090"
"feat:fieldspec-contract-001","FieldSpec contract","implemented","3","spc:2025;spc:1000"
"feat:foreignkeyspec-contract-001","ForeignKeySpec contract","implemented","3","spc:2025;spc:1000"
"feat:iospec-contract-001","IOSpec contract","implemented","3","spc:2025;spc:1000"
"feat:next-target-datatype-table-isolation","Next-target datatype/table isolation","implemented","2",""
"feat:opspec-contract-001","OpSpec contract","implemented","3","spc:2025;spc:2064;spc:2065;spc:2068;spc:1000"
"feat:reflected-datatype-mapper-reverse-mapping-001","Reflected datatype mapper and reverse mapping","implemented","2","spc:2025"
"feat:responsespec-contract-001","ResponseSpec contract","implemented","4","spc:2025;spc:1000"
"feat:routerspec-contract-001","RouterSpec contract","implemented","3","spc:2025;spc:1000"
"feat:schema-reflection-roundtrip-recovery-001","Schema reflection round-trip recovery","implemented","2","spc:2025"
"feat:storagespec-contract-001","StorageSpec contract","implemented","3","spc:2025;spc:1000"
"feat:tablespec-contract-001","TableSpec contract","implemented","4","spc:2025;spc:1000"
"feat:aliasspec-contract-001","AliasSpec contract","partial","1","spc:2025"
"feat:bindingregistryspec-contract-001","BindingRegistrySpec contract","partial","1","spc:2025"
"feat:bindingspec-contract-001","BindingSpec contract","partial","1","spc:2025"
"feat:datatypespec-contract-001","DataTypeSpec contract","partial","1","spc:2025"
"feat:default-canonical-engine-catalog-001","Default canonical engine catalog","partial","2","spc:2027;spc:2062;spc:2090"
"feat:default-kernel-identity-001","Default kernel identity","partial","15","spc:2018;spc:2090"
"feat:enginedatatypebridge-contract-001","EngineDatatypeBridge contract","partial","2","spc:2025;spc:2090"
"feat:engine-extension-surface-001","Engine extension surface","partial","2","spc:2027;spc:2090"
"feat:engineproviderspec-contract-001","EngineProviderSpec contract","partial","2","spc:2025;spc:2090"
"feat:engineregistry-contract-001","EngineRegistry contract","partial","2","spc:2025;spc:2090"
"feat:engine-resolver-multi-table-rpc-001","Engine resolver and multi-table RPC parity under Uvicorn","partial","48","spc:2011;spc:2027;spc:2034;spc:2045;spc:2090"
"feat:engine-resolver-precedence-001","Engine resolver precedence","partial","15","spc:2011;spc:2027;spc:2090"
"feat:enginespec-contract-001","EngineSpec contract","partial","2","spc:2025;spc:2090"
"feat:engine-surface-contract-001","Engine surface contract and datatype bridge","partial","33","spc:2027;spc:2034;spc:2090"
"feat:engine-surface-plugin-resolution-001","Engine plugin registration and resolution","partial","33","spc:2027;spc:2037;spc:2090"
"feat:engine-surface-public-projection-001","Engine public and base projection","partial","2","spc:2027;spc:2090"
"feat:enginetypelowerer-protocol-001","EngineTypeLowerer protocol","partial","2","spc:2025;spc:2090"
"feat:governed-module-alias-compatibility-001","Governed module alias compatibility","partial","77","spc:2025;spc:2038;spc:2039;spc:2090"
"feat:hookphase-vocabulary-001","HookPhase vocabulary","partial","1","spc:2025"
"feat:hookspec-contract-001","HookSpec contract","partial","1","spc:2025"
"feat:http-jsonrpc-bindingspec-contract-001","HttpJsonRpcBindingSpec contract","partial","2","spc:2025;spc:2090"
"feat:http-rest-bindingspec-contract-001","HttpRestBindingSpec contract","partial","2","spc:2025;spc:2090"
"feat:http-stream-bindingspec-contract-001","HttpStreamBindingSpec contract","partial","2","spc:2025;spc:2090"
"feat:middlewarespec-protocol-001","MiddlewareSpec protocol","partial","1","spc:2025"
"feat:orm-alias-export-compatibility-001","tigrbl.orm alias export compatibility","partial","77","spc:2025;spc:2038;spc:2090"
"feat:reflecteddatatype-contract-001","ReflectedDatatype contract","partial","1","spc:2025"
"feat:reflectedtypemapper-contract-001","ReflectedTypeMapper contract","partial","1","spc:2025"
"feat:requestspec-contract-001","RequestSpec contract","partial","2","spc:2025;spc:2090"
"feat:schemaref-contract-001","SchemaRef contract","partial","1","spc:2025"
"feat:schemaspec-contract-001","SchemaSpec contract","partial","1","spc:2025"
"feat:sessionspec-contract-001","SessionSpec contract","partial","2","spc:2025;spc:2090"
"feat:sse-bindingspec-contract-001","SseBindingSpec contract","partial","2","spc:2025;spc:2090"
"feat:storagetransformspec-contract-001","StorageTransformSpec contract","partial","1","spc:2025"
"feat:storagetyperef-contract-001","StorageTypeRef contract","partial","1","spc:2025"
"feat:tableregistryspec-contract-001","TableRegistrySpec contract","partial","1","spc:2025"
"feat:templatespec-contract-001","TemplateSpec contract","partial","1","spc:2025"
"feat:typeadapter-protocol-001","TypeAdapter protocol","partial","1","spc:2025"
"feat:typeregistry-contract-001","TypeRegistry contract","partial","1","spc:2025"
"feat:webtransport-bindingspec-contract-001","WebTransportBindingSpec contract","partial","2","spc:2025;spc:2090"
"feat:ws-bindingspec-contract-001","WsBindingSpec contract","partial","2","spc:2025;spc:2090"
